Run_ID,Mode,Task ID,Difficulty,Test Case Success,Valid Success,Critic Safety Vetoes,Critic Logic Vetoes,Final Safety Blocked,Final Logic Unresolved,Latency (s),Actual Cost ($),Iterations,Escalated,Error
1,fallback_only,sum-in-a-matrix,medium,1,1,0,0,0,0,5.94,0.0004284,1,0,
1,fallback_only,maximum-or,medium,0,0,0,0,0,0,4,0.00038545,1,0,"Test 1 Failed. Expected 30, Got 31. Input: [12, 9]
1"
1,fallback_only,maximum-strength-of-a-group,medium,1,1,0,0,0,0,4.01,0.0003218,1,0,
1,fallback_only,extra-characters-in-a-string,medium,1,1,0,0,0,0,5.12,0.00038515,1,0,
1,fallback_only,number-of-adjacent-elements-with-the-same-color,medium,1,1,0,0,0,0,3.86,0.00047385,1,0,
1,fallback_only,power-of-heroes,hard,1,1,0,1,0,1,39.51,0.0189005,2,1,
1,fallback_only,find-the-longest-semi-repetitive-substring,medium,1,1,0,1,0,1,19.2,0.0100224,2,1,
1,fallback_only,neighboring-bitwise-xor,medium,1,1,0,1,0,1,15.88,0.0067822,2,1,
1,fallback_only,find-the-punishment-number-of-an-integer,medium,1,1,0,0,0,0,3.68,0.0004083,1,0,
1,fallback_only,painting-the-walls,hard,1,1,0,1,0,1,34,0.0152307,2,1,
1,fallback_only,collecting-chocolates,medium,0,0,0,0,0,0,3.59,0.00041345,1,0,"Test 1 Failed. Expected 13, Got 36. Input: [20, 1, 15]
5"
1,fallback_only,determine-the-minimum-sum-of-a-k-avoiding-array,medium,1,1,0,1,0,1,17.85,0.00764855,2,1,
1,fallback_only,greatest-common-divisor-traversal,hard,1,1,0,1,0,1,19.47,0.00952625,2,1,
1,fallback_only,lexicographically-smallest-string-after-substring-operation,medium,1,1,0,1,0,1,19.67,0.01147665,2,1,
1,fallback_only,find-the-longest-equal-subarray,medium,0,0,0,0,0,0,6.7,0.0005276,1,0,"Test 1 Failed. Expected 3, Got 5. Input: [1, 3, 2, 3, 1, 3]
3"
1,fallback_only,count-zero-request-servers,medium,1,1,0,1,0,1,34.86,0.0202347,2,1,
1,fallback_only,relocate-marbles,medium,1,1,0,0,0,0,3.55,0.0004207,1,0,
1,fallback_only,find-the-value-of-the-partition,medium,1,1,0,0,0,0,4.14,0.00037025,1,0,
1,fallback_only,special-permutations,medium,1,1,0,0,0,0,4.88,0.000417,1,0,
1,fallback_only,sum-of-imbalance-numbers-of-all-subarrays,hard,1,1,0,0,0,0,5.69,0.00047285,1,0,
1,fallback_only,construct-the-longest-new-string,medium,0,0,0,0,0,0,9.39,0.00072645,1,0,"Test 1 Failed. Expected 12, Got 14. Input: 2
5
1"
1,fallback_only,decremental-string-concatenation,medium,1,1,0,1,0,1,31.87,0.01264575,2,1,
1,fallback_only,maximum-number-of-jumps-to-reach-the-last-index,medium,1,1,0,0,0,0,5.23,0.00048605,1,0,
1,fallback_only,count-complete-subarrays-in-an-array,medium,1,1,0,0,0,0,3.73,0.00031875,1,0,
1,fallback_only,ways-to-split-array-into-good-subarrays,medium,0,0,0,0,0,0,4.13,0.0002999,1,0,"Test 1 Failed. Expected 3, Got 6. Input: [0, 1, 0, 0, 1]"
1,fallback_only,continuous-subarrays,medium,1,1,0,0,0,0,5.59,0.00046145,1,0,
1,fallback_only,longest-non-decreasing-subarray-from-two-arrays,medium,1,1,0,0,0,0,5.77,0.00064565,1,0,
1,fallback_only,largest-element-in-an-array-after-merge-operations,medium,0,0,0,0,0,0,3.68,0.0003937,1,0,"Test 1 Failed. Expected 21, Got 12. Input: [2, 3, 7, 9, 3]"
